Year, January, February, March, April, May, June, July, August, September, October, November, December
2004,101548,122721,155253,140698,106443,117895,137466,113881,73238,92744,88883,82299
2005,69673,80269,108738,61737,43211,38987,41849,35784,24513,25945,33831,31973
2006,32367,34489,46213,39598,31855,26258,29501,25908,17508,24280,31076,50944
2007,54194,59024,80274,68636,59005,65087,75719,61134,36330,49457,67279,71230
2008,77386,84343,100141,81617,73073,72475,76241,49260,9220,17407,40472,60745
2009,62249,71107,98534,86521,71568,74651,74148,59040,27337,33003,49703,68674
2010,58647,62154,93495,73568,60051,74733,82011,64034,36535,41887,55512,73460
2011,66904,64725,96292,83335,62704,74336,85736,63244,45874,56782,59467,73669
2012,64343,71246,105209,86911,55323,62193,75264,55276,49759,53780,69863,69775
2013,64485,76661,120307,90709,83595,94724,97514,77466,56556,73809,84125,97098
2014,88099,87983,131031,115584,106475,121598,115643,94698,72795,94434,102587,117160
2015,109628,116483,167263,143657,135022,157220,173743,133846,91607,136718,134860,145355
2016,124742,137907,184454,146723,150421,175787,194243,142458,118304,153677,144394,163925
2017,150112,151795,206806,181649,166314,195060,204853,156983,100249,178372,171040,192036
2018,162508,172790,237021,197582,185154,217615,234079,178962,121269,182378,173316,174772
2019,155444,166767,233392,205821,159589,128415,206223,158693,103936,158850,175231,196331
2020,166005,190174,144773,5799,78506,141561,137462,99163,78536,124272,108029,120293
2021,96645,114115,175644,164692,160153,239199,262681,161355,110876,175137,175123,200631
2022,144469,169902,255379,233403,221565,256885,278618,193073,132080,177071,172450,211024
2023,179066,188631,245576,223285,202998,262727,279622,186449,143196,202620,185571,195211
